actor,community
ASOC,0
Argentina,0
Australia,0
Belarus,1
Belgium,0
Brazil,2
Bulgaria,2
CCAMLR,1
COMNAP,1
Canada,0
Chile,0
China,0
Colombia,2
Czechia,0
Ecuador,2
Estonia,1
Finland,0
France,0
Germany,0
IAATO,0
IHO,1
IPY-IPO,1
IUCN,1
India,0
Italy,0
Japan,0
Korea (ROK),0
Malaysia,1
Monaco,0
Netherlands,0
New Zealand,0
Norway,0
Peru,2
Poland,2
Portugal,0
Romania,1
Russian Federation,0
SCAR,0
South Africa,0
Spain,0
Sweden,0
Switzerland,0
Türkiye,1
UNEP,1
Ukraine,0
United Kingdom,0
United States,0
Uruguay,2
Venezuela,2
WMO,1
